index,tags,method,full_api_path,axios_service_path,security,query_parameters,path_parameters,request_content_types,required_request_fields,success_statuses,error_statuses,response_schema_status,runtime_status,summary
1,Admin,GET,/api/admin/books,/admin/books,Bearer JWT,"status,q,categoryId,authorId,page,limit",,,,200,"401,403",DESCRIPTION_ONLY,NOT_TESTED,Book list — daftar buku untuk admin (filter & pagination)
2,Admin,GET,/api/admin/loans,/admin/loans,Bearer JWT,"status,q,page,limit",,,,200,,DESCRIPTION_ONLY,NOT_TESTED,"Borrowed list — pinjaman dengan filter All/Active/Returned/Overdue, search, pagination"
3,Admin,POST,/api/admin/loans,/admin/loans,Bearer JWT,,,application/json,"application/json: userId, bookId",201,400,DESCRIPTION_ONLY,NOT_TESTED,Create a loan (admin)
4,Admin,PATCH,/api/admin/loans/{id},/admin/loans/{id},Bearer JWT,,id,application/json,application/json: none declared,200,404,DESCRIPTION_ONLY,NOT_TESTED,Update a loan (admin) — change dueAt or status
5,Admin,GET,/api/admin/loans/overdue,/admin/loans/overdue,Bearer JWT,"page,limit",,,,200,,DESCRIPTION_ONLY,NOT_TESTED,List overdue loans (not returned and past dueAt)
6,Admin,GET,/api/admin/overview,/admin/overview,Bearer JWT,,,,,200,"401,403",DESCRIPTION_ONLY,NOT_TESTED,"Admin overview (totals, active/overdue loans, top borrowed books)"
7,Admin,GET,/api/admin/users,/admin/users,Bearer JWT,"q,page,limit",,,,200,"401,403",DESCRIPTION_ONLY,NOT_TESTED,"User list — daftar user (search, pagination)"
8,Auth,POST,/api/auth/register,/auth/register,Public,,,application/json,"application/json: name, email, password",201,400,DESCRIPTION_ONLY,NOT_TESTED,Register new user
9,Auth,POST,/api/auth/login,/auth/login,Public,,,application/json,"application/json: email, password",200,401,200:application/json:LoginResponse,NOT_TESTED,Login and get token
10,Authors,GET,/api/authors,/authors,Public,q,,,,200,,DESCRIPTION_ONLY,NOT_TESTED,"List authors (optional q = search by name, untuk auto-detect di form Add Book)"
11,"Authors, Admin",POST,/api/authors,/authors,Bearer JWT,,,application/json,application/json: name,201,,DESCRIPTION_ONLY,NOT_TESTED,Create author (admin)
12,Authors,GET,/api/authors/popular,/authors/popular,Public,limit,,,,200,,DESCRIPTION_ONLY,NOT_TESTED,Popular authors by accumulated rating dari buku (rating * reviewCount per buku)
13,Authors,GET,/api/authors/{id}/books,/authors/{id}/books,Public,"page,limit",id,,,200,404,DESCRIPTION_ONLY,NOT_TESTED,"Book by author — daftar buku oleh author (untuk halaman ""Book by Author"") + pagination"
14,"Authors, Admin",PUT,/api/authors/{id},/authors/{id},Bearer JWT,,id,application/json,application/json: none declared,200,404,DESCRIPTION_ONLY,NOT_TESTED,Update author (admin)
15,"Authors, Admin",DELETE,/api/authors/{id},/authors/{id},Bearer JWT,,id,,,200,"400,404",DESCRIPTION_ONLY,NOT_TESTED,Delete author (admin) — blocked if author still has books
16,Books,GET,/api/books,/books,Public,"q,categoryId,authorId,minRating,page,limit",,,,200,,DESCRIPTION_ONLY,NOT_TESTED,"Daftar buku (user) — filter category, rating, search + pagination"
